seed_id,seed_row_index,split_code,split,excluded_from_chemspace_fit
0,319669,0,train,True
1,407691,0,train,True
2,357774,2,test,True
3,70896,0,train,True
4,618350,0,train,True
5,771121,1,validation,True
6,511472,1,validation,True
7,556492,0,train,True
8,219855,0,train,True
9,354054,0,train,True
10,281634,0,train,True
11,538540,0,train,True
12,343969,0,train,True
13,53955,0,train,True
14,624425,0,train,True
15,418215,0,train,True
16,397466,0,train,True
17,602221,1,validation,True
18,160039,0,train,True
19,667072,2,test,True
20,440554,0,train,True
21,653586,0,train,True
22,131256,0,train,True
23,553961,0,train,True
24,705329,0,train,True
25,709496,2,test,True
26,348626,0,train,True
27,73191,0,train,True
28,682034,0,train,True
29,736200,0,train,True
30,501789,0,train,True
31,519962,0,train,True
32,584456,0,train,True
33,357837,0,train,True
34,775000,2,test,True
35,569940,0,train,True
36,50695,0,train,True
37,604624,0,train,True
38,352240,0,train,True
39,681818,0,train,True
40,433279,2,test,True
41,180515,2,test,True
42,68271,0,train,True
43,620859,2,test,True
44,614795,0,train,True
45,145013,0,train,True
46,294552,0,train,True
47,101769,0,train,True
48,74811,2,test,True
49,657462,0,train,True
