sample_id,canonical_smiles,exact_nearest_tanimoto,nearest_training_id_exact,search_threshold_used
1,C=CCOC(CC=CC(O)=CC(=O)CF)(OCC)C(=O)NC=CC(=O)[CH]CCN(C)C,0.27142858505249023,534545,0.2
2,COCC=CC1C=CC(Cl)=C(N)C(=O)C(CC=O)C(=O)CC=C(C)C=CC1,0.25882354378700256,60494,0.2
3,C#CC=CC(CC=O)C1=N[C@@H](C)CN1,0.42500001192092896,386905,0.2
4,FC=CSCC1CN=C(c2ccccc2)C2C=C(S)CC12,0.24193547666072845,344896,0.2
5,O=NCCCC1=CN=CCC(=O)CC=CC#CC=CCN1,0.19607843458652496,266756,0.15
6,C=C(C=COCN)C(=O)C1C2=CN=CC3=C1[C]N([CH]CNCC1(C=NNC1C)CC2)C3,0.21111111342906952,453948,0.2
7,CCNCCC(=O)NCC=CCOC=C(O)[PH](=O)C[CH]CCC(C)Br,0.29629629850387573,91367,0.2
8,CC(C)(C)CNC(=O)NC=CC(=O)C=COC=C(F)C(=O)C=CF,0.30612245202064514,272240,0.2
9,CC=CC(=O)C(C=C1C(N(O)C(=O)O)C=CN1CCC)CC=CC(O)CO,0.25,262883,0.2
10,O=C1CC=COCCC(F)C=NN=CC=CC=CCN1,0.26530611515045166,228305,0.2
11,NC(=O)C(=O)C(N)=CC1=CC=CC#C[C@@H](C=CC[N+](=O)[O-])C(=O)O1,0.20588235557079315,73515,0.2
12,CCC(=O)C=CC=N,0.5199999809265137,166871,0.2
13,CC=C(O)C=C1C=Cc2cc(ncc2=CC(O)=CN=CCCCC)=N1,0.2857142984867096,570909,0.2
14,CC=C1C(F)=NC=CC=CNC=C2C(=O)C(C=C(C=O)C(Br)=CCCS)C=NC21,0.1744185984134674,49916,0.15
15,CNC(C=CC=CN(C)F)CC(O)=CC=CC=CC[C@H](O)[C]CO,0.20000000298023224,7366,0.2
16,CC=C1NC(=O)C=COC2CNCC=C(Cl)C=CN=CC12,0.2112676054239273,516442,0.2
17,CC1=CC=CC=CCC(N)S(=O)C1,0.3030303120613098,567984,0.2
18,C=COC1=CN=CC2CC(=O)N2SC(=O)C(Cl)=CCCC(N)N=C1C=CO,0.2151898741722107,352182,0.2
19,C=C1C2=CC=CC1(Br)C=C(N)CC2,0.31111112236976624,57827,0.2
20,COC[C@H](N)OCC=CC(=O)SC=C1OCC=CC=C1C,0.25,627130,0.2
21,CC(=O)[SH]1C=COC(=O)C1,0.3142857253551483,231349,0.2
22,CC(F)(F)CN(F)CCS(=O)CCF,0.3095238208770752,296122,0.2
23,CC(=CC=CC(C)O)C1=CCOCC1=CC=C(Br)C=O,0.23529411852359772,239717,0.2
24,CNC(=O)C[CH]C=C1C=C2C=C3CCC2C[C@H](CO)CC=C3C=CCc2ccccc21,0.25882354378700256,565177,0.2
25,CC(=O)C=CC[CH]NC(=O)C(O)=NC12C=CC1C=CCO[C@@H]2COCC=CCN,0.24657534062862396,547251,0.2
26,CC1=CC(C=CC#N)CCCC(=O)NCCCOC2CCNCC(=O)C2=CCC(S)C(=O)N1,0.232876718044281,267779,0.2
27,CC1=C2NCC(=O)CNC(Cl)=C(F)C=CCCOCCN3CC=COC(C)C1C=C2C3,0.23255814611911774,10703,0.2
28,CC=C1COC(=O)CC2=CC(F)CC=C2C=C(C=NC(C)C)C1,0.21311475336551666,531404,0.2
29,C[SH](=O)(O)C1=C[C@@H](N)N(C=CC(F)=CC(=O)N[C@@H](F)[CH]C2(N)CC2)CC1=CF,0.21794871985912323,198350,0.2
30,CCOC(CC=NC=CF)C(=O)CC=CC1=C(CC(C)[SH]=CC(=O)NC)C=CCO1,0.2405063360929489,266280,0.2
31,O=CC(OCC=CC=Cc1cccnc1)C(Br)C(=O)C=CSCC(=O)NO,0.3636363744735718,486278,0.2
32,CC1=CC=CC2=CN(CCC=CCC=C3C(Cl)=CCSC(=O)ON3C=CC(C)C=O)C(=O)CN2C1,0.19148936867713928,546811,0.15
33,CNCCC1C=C(F)CCOCC2C=C(CCC(C)O1)C(Cl)(NC[CH]CC=O)C=CC(N)=N2,0.20909090340137482,77953,0.2
34,CC=CC1=CNC(=CCCl)C=CC2=C(C(C)=O)NC2(NCOC)C1=CC(C)C,0.22727273404598236,257045,0.2
35,CC=C1C=CCCCC=C(OC)C2=C3C=CCC(=CN2)CC=CC=CC13,0.2295081913471222,402756,0.2
36,C=NC=C1C=CN=CC=CCC1,0.24444444477558136,562765,0.2
37,CNC(=O)N=CC=C(O)Cl,0.29729729890823364,166592,0.2
38,CONC(=O)[CH]CNCC1=C(Cl)C=Cc2ccc(S)cc2CCCC=CC=NSC=C(C)[CH]1,0.26436781883239746,89107,0.2
39,CNC(=NC=CO[CH]CC1=CNC1)C1C=CSC1=O,0.22077922523021698,582628,0.2
40,CN(CC#N)Cc1ccc(F)cc1O[C@@H](C=C(S)Br)C(=O)CCC(CCF)NCCO,0.29487180709838867,622415,0.2
41,CC1=CC=C2NC(=O)N=C(C)C=CCC(=CCN=CC1F)C=CN=COC2C,0.18666666746139526,530657,0.15
42,C=CCC=C(C)CC=NOCC(=CN=CNC=NC=O)CC=Cc1cccc2c1C=CC2=C,0.2222222238779068,452362,0.2
43,C=CCC(C)(C=C1N=CC(F)(C=CCC)CC(C=C)C1=O)CC=NCC,0.22857142984867096,304118,0.2
44,C=CC(=O)C(Br)NCC(=O)NC1(CONC=C(Br)C(C)ONC(=O)CC)C=COCC1,0.2083333283662796,494147,0.2
45,CC=C(O)CC1=CN=CN[C](CNCC)CC(=O)C(NCCCCC)OC=CC1,0.23376622796058655,198988,0.2
46,C=COCCOCC(=O)N(CCC=CC(=C)C(Cl)=CC=CC(=O)F)CCCCC,0.35483869910240173,76009,0.2
47,CCCCOC(=COC(Cl)=CC1C=CC=CSC1C)C(=O)C=CCOCC,0.2931034564971924,232708,0.2
48,C=C(N)C=CC(=O)COC(C)c1occ(C(C)=CNCF)c1C=NC=C1CC1F,0.21590909361839294,261293,0.2
49,C#CC=CCC1(O)C[CH]C(=O)OCCC(C)=CN1,0.25,401969,0.2
50,CC=NC1=CCC2CC(=N)C3(CNC(=O)NC3=NC2N)ON=CCCC(N)=CCC#C1,0.17241379618644714,204923,0.15
51,CC(F)(F)C(=O)C1=CN2C=CC(=O)NC=CC3CCC=C2C=C1CC3,0.23529411852359772,118478,0.2
52,NC[C](C1=C=CC(Cl)=COC(=O)CNC2=CC=CCC=NC1CO2)C(F)F,0.20000000298023224,230766,0.2
53,COC(=O)[C@H](C)NC(=O)C=CCl,0.6896551847457886,387955,0.2
54,C=NC1=CC(=CC=S=O)C(Br)=C2OC=CC(F)C2=CN=CC2=CCCOC=C[SH]21,0.15853658318519592,454300,0.15
55,C=CC12C=COC3C=CC=CC(=O)CC(Br)OC(C)C=CC3=C1C=C2,0.2950819730758667,431645,0.2
56,CC=CNC=C(C=CC1=C=C2C=C(C)C=C2C1)NC=CCOC1=CC(Br)C=N1,0.20253165066242218,609851,0.2
57,ClCC=C1OC1C=CC=CNC1=CC=CC=C[SH]1C1=NN=NCC1,0.17910447716712952,200121,0.15
58,C=NCC1=C(C=CC=C[C@@H](Cl)OC)C2=C1CCC1=CNc3ccccc3COCC=C12,0.21782177686691284,135454,0.2
59,OCC=C(F)C=CCNNC1(F)NC=CC=CCN=CC=CSN1,0.2112676054239273,339710,0.2
60,C=CSC(=O)C=C(C)CC=CCC#N,0.3055555522441864,255055,0.2
61,CNC=CC1C2=NC=C3C(=NC=C(C)C#CN2C2OCC[CH]CC(OCCNC)C32)S1(=O)=O,0.20879121124744415,164286,0.2
62,CC(=CC=C(F)O[C@H]1CCNCC1C=C=S=CCC=CC=C(F)C#N)CC=N,0.22857142984867096,401991,0.2
63,NC(=O)OC(Br)=C(CC=O)c1nc1=O,0.28205129504203796,630966,0.2
64,CC=C1CCN1CNC=C1CC=CC(=O)[C@@H]1NCOCC(F)=CC=[N+][O-],0.20000000298023224,116276,0.2
65,CCNC=CC1CN(CC=CCS(C)=O)C(C(F)Cl)=CC=CC(=O)O1,0.2222222238779068,202849,0.2
66,C=COCC=CC1=CCC2=CC(=C)CC(C)(F)C=CN1C2=O,0.24285714328289032,423820,0.2
67,CC1(Cl)OCC2=CCC(=CC(=O)C1=O)C(Cl)=CC2,0.3181818127632141,209254,0.2
68,CC1CNC(=O)OC[C@@H](C=O)C2=CC2(C)CC(F)=C[C]C1=O,0.30909091234207153,386121,0.2
69,CC(=O)NC=C1NC(=O)CC2=NN=C3N=C1C(Br)=CC(C=CC=CCBr)=C[C@H]3C2,0.22093023359775543,414703,0.2
70,O=CC(F)C12C=C(C=CCCl)COC(C(S)=NC=CF)[C@@H](CC=NC1)O2,0.18518517911434174,251139,0.15
71,CC1CCC(CF)C(=O)COCC2=C(Cl)CNC(=O)C=C21,0.2545454502105713,385397,0.2
72,CCCN(C)F,0.5,265920,0.2
73,CC1=CSC=C2NC(=O)C=CC1=C1C=CC(C)N=C21,0.2222222238779068,386327,0.2
74,C=CC=CN(CC=C(Cl)N=CF)OCC=C(I)C1C(=O)COC(C(F)F)=C1Cl,0.19780220091342926,329872,0.15
75,CC=CC(F)=C1C=CC(C(=O)OCC(C)=O)=C1,0.3636363744735718,448643,0.2
76,CCNC(=O)OC(Cl)=CC(F)C=NC(=O)N=CCl,0.2954545319080353,548178,0.2
77,COCC=C1CC(CC(Cl)[N+]=NC(=O)OCCCC(C)=O)C2C=C1SCC2,0.24242424964904785,309861,0.2
78,[CH]C(=O)COc1cc(O)ccc1CC=C1C=CC=CNC(=O)[CH]OC(C)(C)CC(O)=C1,0.2650602459907532,344833,0.2
79,CC1=CC=CC2(CN1)CC1(C=CC(F)=C1)C(F)=C(C)Nc1[nH]ccc12,0.23636363446712494,304797,0.2
80,CC(CC=CCCC=O)CNC1=C2CC=CC=C(Cl)C(F)(F)[C]1CC2,0.23529411852359772,482882,0.2
81,[C-]#[N+]CC[C]CCOC(=O)NCC=CCNC=C1C=C(N=N)C=C1CN=CC1C=CCC=C1C,0.21111111342906952,310133,0.2
82,CC1(CCO)C2=NC=CC3=CN=CC(=CC(N)=CCCCCCCC1N)C(CC=CCNC(N)=O)=CC32,0.21276596188545227,318034,0.2
83,CCN(C[C]CC(C)=CC=CC=NC=CC=COC)C(C)=O,0.2954545319080353,360635,0.2
84,O=C(F)C1[CH]C=CC2=CC=CC=C(C(F)C=CC2)C1C=C(CO)CC=C1C=CCC=C1,0.17142857611179352,619003,0.15
85,O=C1C=CSC=C(Cl)C2C=CCC2N2C(O)=NC=C(CO)NC=CC12,0.20779220759868622,94164,0.2
86,O=C1COCCC(F)=C(NCCCC#CC=CC=C(F)CCNC[CH]CCF)C=N1,0.19819819927215576,40216,0.15
87,CCC=CC1C=CC(OC=CC=CCN)=CC2C=CCCNCC=CC3=NCC(=O)C3C=C(N)C12,0.1818181872367859,617495,0.15
88,C[C@@H](CC(N)=O)C1C2=COC(=O)C3(C=CC=CC=CN1CC(O)=CC=CC2)C=CN=CC3,0.23529411852359772,467147,0.2
89,C=NC1C=CCC2(C=CC=CN(C)C2)C(=O)OC(Cl)=C1CC(=O)O,0.25,329366,0.2
90,C=C1NCN=C(NCC)N=CCN1CC(C)C=CC(=O)CSC,0.2261904776096344,488512,0.2
91,C=CC[C]1CSC(=CC)C=C(F)CC2C=C(O)N=CC=CC(=O)N=C12,0.23529411852359772,11704,0.2
92,CC1CNC=C1CC1=C(C2=CC=CSN(C=CC#N)C(Cl)C=NN2)CC=CN=NC1O,0.18095238506793976,116827,0.15
93,CCNCCC(N)C(=O)C=C1CN2C=C[C@](C)(C1)[C@@H]2ONC=C(F)Cl,0.23255814611911774,226219,0.2
94,Cc1nc(CCC2CCC=CNCOC2)n2c1C1=CC=NN=CCOC=C12,0.22972972691059113,21250,0.2
95,C=C(Cl)C=CC1=CC2(N)C=C(I)C#CC(=O)C(CCS)C=CCCOCCC1C2,0.2183908075094223,400918,0.2
96,CCC(O)C1=CC=CC12CC=N2,0.3076923191547394,266283,0.2
97,CCC=Cc1c2cccc1C(F)=NOOCC2,0.2800000011920929,531183,0.2
98,C=CC=C1CN=CNCC2C=CC=C(C2)C(C(=O)C=COCC)O1,0.2432432472705841,146203,0.2
99,C#CCO[C@@H](C)C=O,0.5,500807,0.2
100,COC=CC=CC(=O)N[C@H](C#CCC1C=CCOC[CH]C(=O)NCC1)C=CCC(N)C=NN,0.23232322931289673,161549,0.2
101,O=C1[C]C[SH]2C3=C4CC(=C(Cl)C=C3O)C3=CN(CCO1)[C@@H]2C=C34,0.2112676054239273,361016,0.2
102,C=C(F)C=CN1N=CC2=NC1CC=CCC(=O)C(N=CC[C]C(=O)OC)C=C2,0.23456789553165436,191912,0.2
103,Cc1cscc1C#N,0.5185185074806213,150165,0.2
104,C=CCC(=CC(O)CF)OC,0.3589743673801422,595082,0.2
105,C=CC=C(Cl)C=NC[SH]1C2=CC=COC=CC=C1CN(F)OC=C2,0.20000000298023224,136922,0.2
106,C=C=CC=CCC(=O)SN(C)C=CC1=CCC(=O)N[C@H](CCCC#N)C=CC=C1C(C)F,0.20930232107639313,127054,0.2
107,C=NC(C=C(C)N[C@@H]1C=CC(F)=CC(C=CCN=N)CC(=O)C1)C=C1C=CC=C1N,0.1860465109348297,362076,0.15
108,CC=CC=C(F)C=CC(N)CC=C(C)Cl,0.27659574151039124,422448,0.2
109,C=CCC(=CC=CNC=O)CONC(=O)/N=C\SCN(C(N)=O)C(=O)/C=C\NC(=C)F,0.20779220759868622,136733,0.2
110,COCNC[C@@H](C=O)OC#N,0.4193548262119293,311232,0.2
111,COC1=C[CH][C@@H](C=O)N1C(=O)C=CNC=CN=CC=CC(CO)=C(Cl)CC(=O)NC1=CC=NNC1,0.21276596188545227,73124,0.2
112,NOC=CCCCNCC=C(CF)NC=O,0.3181818127632141,393664,0.2
113,CCO[CH]CC(=O)C(C=C1C=CC=CC1)=CCON=CNC(=O)[C](C)CC=O,0.22972972691059113,44485,0.2
114,COc1ccncc1Cl,1.0,363926,0.7
115,CCCC(C)(F)C=O,0.4583333432674408,371320,0.2
116,CCOC(=O)C(OC(=O)C=CC1C=CNC1=O)C1=NC=C(C2C=CC=C2)N=CC1=CCO,0.2666666805744171,213310,0.2
117,CNC=C1N=CONC(=O)CNCC(O)(C=CCCC#N)NC=CC2=CC1CC1N=C2CO1,0.20000000298023224,282277,0.2
118,CCC1C(=O)C=CN[CH]CC=CCC2=C1N(C(C=CC=CNCCCCN)=CC=CNC)C2C=N,0.1979166716337204,83179,0.15
119,CC(=O)CC1=CC12NC=CC(=O)C1=NC=C3C(CC(=O)C3[C@@H](C)O[CH]N3CC3N2)O1,0.20212766528129578,622495,0.2
120,CCNC=CC=NC(C)=C(CC=CC([NH])=O)C(=S)NCCOCC=CC(F)(F)F,0.2567567527294159,468952,0.2
121,CNC(=O)SC=CC1CN=C(C(=O)O)C(CCC(C)C=N)O1,0.23076923191547394,57596,0.2
122,CC[CH]C(=O)OCCN1COC=C2C=NCC3=CC(C(=O)C2=C3)C1=O,0.24657534062862396,410478,0.2
123,O=CC(=O)C=CC1C=NC=C(S)C(C=C2C=CC=NC=CC2)N1,0.18918919563293457,454368,0.15
124,CC=CC1C#CC=CC2(N)C=C(Cl)C3=CCCC=C2CC(=CC2=CC1C=CN2)O3,0.17045454680919647,543466,0.15
125,N#CC1=CC(=CC=CC2(O)CCCCCCC(F)(F)O2)N=C1,0.2545454502105713,557771,0.2
126,CCCC(=O)C=C1CCN=CC2=CC=C3SC=C1CC(=NC=C1CCOC[C@@H]1NC3=CCCl)N2,0.20999999344348907,571269,0.2
127,CCC=CC=CC(F)(C=CC(F)F)CC=C1CC=CS(=O)NN=CC=CC(C(=O)O)=C1CC,0.20588235557079315,610018,0.2
128,C=C(CO)C1C=C(I)C#CC(=O)C=CCC(C=CC)C2(C=O)C=C(O)C=CC=C12,0.19230769574642181,320015,0.15
129,N#Cc1cccc(Br)c1OCC=C1C#CC(=O)CNCCOC1,0.33898305892944336,117676,0.2
130,C=C(C=CC=C(C)N=COC)C(=O)NCC=C(C)C=COC=C(NC)N(C)C=C(C)C,0.2361111044883728,103657,0.2
131,O=C1C=CO1,0.3499999940395355,384541,0.2
132,CC(=O)ON=CC(=O)ONCC(C=O)ONCCCC(N)=O,0.31578946113586426,87158,0.2
133,NC1=C(Br)N=C(C=COC[C@H]2CC=CNC(=O)C2)CC(COC=Cc2ccccc2Cl)=N1,0.2631579041481018,227911,0.2
134,CCC=NC=C(COC)n1cc(Cl)nc1Br,0.3035714328289032,582086,0.2
135,CCOCC(CC=CNC(Cl)=CC1=CC(=O)C(C)P1C=C1C=CC=C1F)C(=O)O,0.23749999701976776,10821,0.2
136,CC1=C(NCC=CSF)C1(C)OC1=S=CC(=CCF)C1C,0.18421052396297455,5540,0.15
137,C[C]1NC2C=CCCNC=CC(F)C(=O)OCC=[N+](C#N)C12,0.21052631735801697,428342,0.2
138,CN(C)C=O,0.4444444477558136,276450,0.2
139,CC=NN=C(C#CCC(=O)CC=CC(=O)NCC=COCC)C=CC=C1C=C(F)C=CC=CC1Cl,0.25882354378700256,44485,0.2
140,C=C1SCCC(=CCC(S)NC)C2NC(O)C=C3C(F)=CC=C3N=C2C(F)=CC1=O,0.1910112351179123,631996,0.15
141,C=CCC1=CNN=CC(=O)C(Cl)C1=CC(=O)C(C=C)CCC=COC=CC,0.23188406229019165,11704,0.2
142,COCC1=CC=CC2C3=CC(=CC=O)C(=CCC3F)NC=CC1C=CC2C(C)=O,0.21250000596046448,295252,0.2
143,CC#CC(O)C(=O)NC1(C=CSC=C(O)NC=N)C=CC(F)=C1C=CO,0.2266666740179062,335009,0.2
144,C=C(N)OC=CC(=O)C(COC(=O)C[CH]N1CC=CC=C1C#N)C(=O)C=O,0.21212121844291687,356868,0.2
145,CC(C=CC(F)=C1CN(C)ON1CC[SH]=c1cccc[nH]1)SCCCN=O,0.2222222238779068,276565,0.2
146,CC(N)N=CC=CCSC1=CC=CC=NCCc2ccccc2C=CC1,0.2881355881690979,507368,0.2
147,C=CCOCCNC(C=C(F)C1=C(Cl)C=C(C#N)CC1C(=C)F)CC,0.28169015049934387,458541,0.2
